MM-DD HH:MM (UTC),2021,2022,2023,2024
09-30 07:00,92.96,161.55,23.09,31.61
09-30 08:00,98.0,159.85,23.1,32.72
09-30 09:00,96.97,143.75,25.46,45.79
09-30 10:00,88.89,155.76,24.35,62.87
09-30 11:00,88.16,154.47,26.21,89.44
09-30 12:00,83.47,157.83,27.78,65.03
09-30 13:00,86.94,139.1,26.09,59.4
09-30 14:00,91.7,134.63,26.64,35.44
09-30 15:00,88.86,152.36,25.21,21.87
09-30 16:00,84.07,128.68,31.19,16.91
09-30 17:00,91.23,182.68,29.5,11.41
09-30 18:00,68.73,239.19,31.58,11.8
09-30 19:00,49.92,178.4,29.25,12.11
09-30 20:00,55.69,106.76,37.85,12.26
09-30 21:00,46.89,109.81,28.92,13.62
09-30 22:00,45.89,121.51,28.97,21.3
09-30 23:00,38.09,134.9,31.55,23.94
10-01 00:00,50.99,109.18,31.14,24.07
10-01 01:00,58.9,97.3,32.59,25.47
10-01 02:00,57.84,67.12,35.66,22.6
10-01 03:00,60.37,59.2,37.27,16.5
10-01 04:00,54.06,67.0,35.57,12.07
10-01 05:00,61.27,90.88,34.05,11.88
10-01 06:00,67.26,105.48,31.9,11.98
10-01 07:00,62.2,98.86,32.59,11.31
10-01 08:00,62.99,93.08,30.63,15.93
10-01 09:00,60.97,95.89,30.42,14.59
10-01 10:00,55.77,81.79,41.68,14.61
10-01 11:00,46.69,78.29,40.95,10.88
10-01 12:00,53.75,108.49,35.36,11.21
10-01 13:00,58.28,120.18,42.1,12.26
10-01 14:00,58.08,125.55,34.49,12.87
10-01 15:00,54.42,168.41,51.69,20.46
10-01 16:00,54.53,194.87,55.64,23.23
10-01 17:00,52.58,183.36,52.46,29.54
10-01 18:00,44.92,145.89,55.55,28.35
10-01 19:00,37.88,107.02,43.4,25.09
10-01 20:00,36.74,120.13,42.76,17.27
10-01 21:00,34.21,109.5,44.71,15.45
10-01 22:00,35.47,106.37,46.85,16.32
10-01 23:00,38.18,92.46,50.75,24.23
10-02 00:00,39.04,126.19,48.45,25.21
10-02 01:00,36.87,113.36,48.96,24.66
10-02 02:00,53.37,125.21,45.2,24.27
10-02 03:00,81.57,129.47,48.38,23.0
10-02 04:00,82.94,130.1,43.56,23.2
10-02 05:00,79.35,143.86,47.02,25.83
10-02 06:00,77.17,135.21,67.41,33.52
10-02 07:00,84.98,122.43,44.48,27.57
10-02 08:00,88.52,129.41,46.15,25.71
10-02 09:00,81.5,124.62,39.47,26.11
10-02 10:00,91.11,119.95,42.62,23.74
10-02 11:00,69.64,119.72,50.43,19.67
10-02 12:00,80.0,132.74,44.9,20.76
10-02 13:00,79.93,131.66,44.03,22.62
10-02 14:00,67.93,115.88,46.24,30.04
10-02 15:00,72.08,81.21,55.45,41.29
10-02 16:00,75.6,82.44,73.4,37.91
10-02 17:00,76.02,84.92,58.3,32.83
10-02 18:00,103.24,83.51,54.22,33.82
10-02 19:00,48.99,81.4,49.55,36.6
10-02 20:00,43.3,76.44,49.4,34.88
10-02 21:00,38.46,75.88,61.65,28.14
10-02 22:00,48.57,79.75,53.69,31.13
10-02 23:00,70.1,67.28,51.47,27.63
10-03 00:00,92.19,123.3,47.97,24.19
10-03 01:00,78.75,77.83,48.2,23.06
10-03 02:00,92.57,82.43,48.67,24.95
10-03 03:00,90.47,123.76,49.12,23.11
10-03 04:00,77.59,165.55,40.62,22.67
10-03 05:00,59.31,206.89,35.69,21.79
10-03 06:00,32.9,242.99,37.02,21.81
10-03 07:00,26.25,204.71,55.41,20.46
10-03 08:00,26.17,167.62,56.6,12.04
10-03 09:00,24.06,148.24,48.15,12.36
10-03 10:00,25.84,124.41,52.97,11.47
10-03 11:00,26.5,120.17,52.76,12.78
10-03 12:00,24.6,123.28,54.36,14.13
10-03 13:00,25.43,119.5,44.77,14.4
10-03 14:00,29.97,90.51,29.67,26.07
10-03 15:00,30.27,93.29,22.87,44.0
10-03 16:00,29.99,97.14,28.61,71.6
10-03 17:00,29.52,106.76,28.81,68.69
10-03 18:00,29.85,103.94,30.36,55.07
10-03 19:00,30.61,104.23,27.91,48.36
10-03 20:00,29.65,101.75,26.41,43.84
10-03 21:00,32.02,98.78,27.51,35.79
10-03 22:00,33.12,79.68,29.65,35.28
10-03 23:00,32.54,74.46,27.07,35.83
10-04 00:00,37.52,83.32,24.61,36.55
10-04 01:00,38.08,97.39,28.48,37.63
10-04 02:00,42.08,109.48,28.91,37.76
10-04 03:00,45.8,121.0,30.41,36.16
10-04 04:00,70.71,148.62,29.08,53.48
10-04 05:00,101.19,170.73,24.69,64.13
10-04 06:00,113.89,147.15,21.23,96.14
10-04 07:00,113.55,138.8,24.79,86.5
10-04 08:00,128.23,151.53,26.87,35.91
10-04 09:00,207.66,130.87,27.61,32.11
10-04 10:00,206.78,172.17,28.99,34.09
10-04 11:00,101.09,106.28,28.15,31.84
10-04 12:00,101.22,124.58,30.1,33.46
10-04 13:00,105.61,115.89,24.11,37.96
10-04 14:00,107.93,108.82,22.21,45.4
10-04 15:00,93.44,108.16,21.35,58.09
10-04 16:00,101.66,104.65,21.5,59.16
10-04 17:00,103.18,123.9,21.7,62.06
10-04 18:00,96.61,97.84,23.17,59.1
10-04 19:00,92.12,87.61,24.41,47.64
10-04 20:00,91.02,90.77,25.88,54.6
10-04 21:00,96.59,81.45,28.22,53.11
10-04 22:00,85.75,73.33,27.91,52.25
10-04 23:00,90.13,55.64,24.05,44.13
10-05 00:00,103.4,51.89,22.84,43.73
10-05 01:00,93.58,54.19,23.14,45.48
10-05 02:00,90.11,57.38,24.64,49.79
10-05 03:00,103.5,59.25,27.58,46.02
10-05 04:00,114.9,70.09,25.64,44.13
10-05 05:00,116.54,126.03,23.9,49.49
10-05 06:00,144.45,104.64,21.87,63.26
10-05 07:00,193.37,96.71,21.41,47.9
10-05 08:00,204.48,85.03,20.68,38.02
10-05 09:00,162.19,71.25,22.24,35.08
10-05 10:00,108.0,89.09,23.87,37.14
10-05 11:00,102.08,76.73,22.13,26.23
10-05 12:00,88.63,63.24,22.83,25.9
10-05 13:00,78.4,47.12,23.32,30.75
10-05 14:00,85.95,41.49,29.25,44.32
10-05 15:00,87.06,40.1,40.2,55.49
10-05 16:00,101.98,43.04,41.96,61.99
10-05 17:00,110.77,46.38,56.07,77.06
10-05 18:00,110.01,42.82,49.92,75.03
10-05 19:00,104.05,39.25,47.39,68.49
10-05 20:00,99.12,38.1,47.06,57.1
10-05 21:00,98.77,37.73,43.89,44.8
10-05 22:00,104.3,45.15,36.12,37.33
10-05 23:00,94.02,43.83,33.48,31.71
10-06 00:00,96.05,71.78,30.23,30.97
10-06 01:00,121.17,66.92,28.22,31.53
10-06 02:00,135.6,64.88,26.03,30.5
10-06 03:00,107.56,46.79,24.87,29.82
10-06 04:00,120.52,50.11,24.07,29.58
10-06 05:00,130.65,61.26,29.35,39.32
10-06 06:00,135.35,69.72,28.58,37.72
10-06 07:00,155.08,66.14,27.96,28.84
10-06 08:00,125.48,63.99,23.36,22.36
10-06 09:00,127.05,62.5,27.18,21.77
10-06 10:00,117.48,50.92,27.7,34.69
10-06 11:00,123.63,48.8,35.48,43.82
10-06 12:00,129.98,46.55,41.06,88.24
10-06 13:00,119.15,47.47,37.42,62.67
10-06 14:00,128.87,47.87,33.89,34.02
10-06 15:00,153.58,51.91,37.07,43.52
10-06 16:00,108.52,63.53,37.27,47.15
10-06 17:00,93.8,63.65,40.48,49.08
10-06 18:00,92.89,65.37,48.56,42.36
10-06 19:00,91.65,56.64,45.91,42.59
10-06 20:00,97.17,48.58,45.09,40.95
10-06 21:00,87.89,34.04,40.44,44.34
10-06 22:00,84.78,32.08,45.51,40.52
10-06 23:00,82.77,40.05,41.38,35.38
10-07 00:00,77.6,43.48,41.04,32.13
10-07 01:00,74.23,43.1,37.37,31.22
10-07 02:00,77.59,42.83,23.18,32.5
10-07 03:00,83.12,42.32,34.7,30.33
10-07 04:00,97.07,54.25,32.13,31.58
10-07 05:00,116.51,96.48,30.17,27.73
10-07 06:00,151.53,94.85,29.56,26.45
10-07 07:00,122.89,48.31,26.71,26.4
10-07 08:00,120.37,50.27,27.03,24.1
10-07 09:00,104.76,49.77,28.19,25.97
10-07 10:00,114.75,47.04,32.79,28.23
10-07 11:00,102.1,47.47,43.73,28.8
10-07 12:00,110.34,50.01,47.33,31.33
10-07 13:00,103.67,47.58,38.49,32.95
10-07 14:00,104.33,46.5,36.81,41.58
10-07 15:00,121.13,48.01,40.07,59.21
10-07 16:00,125.3,60.04,41.77,81.18
10-07 17:00,117.48,68.4,51.21,112.43
10-07 18:00,116.92,72.39,43.56,60.16
10-07 19:00,104.65,78.25,47.67,50.26
10-07 20:00,91.18,76.15,39.26,46.51
10-07 21:00,88.15,73.97,38.96,39.01
10-07 22:00,88.43,80.92,40.31,39.09
10-07 23:00,89.38,82.27,38.74,39.68
10-08 00:00,91.77,83.59,42.65,40.08
10-08 01:00,82.65,85.83,40.99,41.88
10-08 02:00,83.71,90.97,45.89,38.19
10-08 03:00,86.34,97.26,49.08,38.48
10-08 04:00,92.72,111.91,47.14,43.58
10-08 05:00,99.75,114.73,51.72,42.12
10-08 06:00,88.49,111.37,49.83,38.05
10-08 07:00,82.88,117.85,43.19,37.8
10-08 08:00,84.99,109.21,40.5,36.64
10-08 09:00,95.78,97.61,39.79,36.93
10-08 10:00,77.87,93.28,39.28,33.28
10-08 11:00,73.0,83.84,39.41,32.94
10-08 12:00,75.82,89.44,39.37,37.26
10-08 13:00,84.22,94.64,41.68,39.63
10-08 14:00,80.82,90.48,45.35,44.44
10-08 15:00,85.79,65.48,77.37,50.85
10-08 16:00,95.79,51.61,83.37,52.39
10-08 17:00,103.6,47.94,111.49,62.66
10-08 18:00,101.26,46.27,82.9,56.79
10-08 19:00,90.02,42.18,58.6,52.17
10-08 20:00,88.43,44.45,56.91,49.44
10-08 21:00,85.88,45.92,54.03,39.26
10-08 22:00,88.46,63.09,46.44,42.11
10-08 23:00,87.45,77.34,42.31,41.57
10-09 00:00,89.29,77.26,42.23,41.19
10-09 01:00,90.91,81.71,41.35,44.17
10-09 02:00,91.16,84.69,43.14,47.63
10-09 03:00,95.15,88.23,50.33,47.53
10-09 04:00,93.56,94.04,57.99,44.77
10-09 05:00,103.53,104.22,114.3,61.19
10-09 06:00,101.25,97.7,243.18,57.84
10-09 07:00,101.8,100.05,217.72,49.81
10-09 08:00,89.12,93.88,132.45,50.78
10-09 09:00,88.27,91.44,84.63,41.17
10-09 10:00,121.02,91.58,71.41,47.27
10-09 11:00,122.23,76.3,87.65,40.52
10-09 12:00,147.57,60.43,61.62,38.34
10-09 13:00,120.81,58.85,81.7,42.44
10-09 14:00,110.8,79.31,102.87,53.4
10-09 15:00,115.33,107.57,225.61,52.86
10-09 16:00,122.79,107.82,219.79,50.23
10-09 17:00,112.96,113.76,230.19,55.93
10-09 18:00,100.34,93.96,238.42,50.07
10-09 19:00,92.96,76.97,178.74,45.43
10-09 20:00,88.98,73.64,158.21,48.65
10-09 21:00,79.96,73.53,80.14,52.95
10-09 22:00,97.34,71.85,82.7,38.59
10-09 23:00,90.68,58.34,80.03,37.42
10-10 00:00,87.2,41.12,73.4,37.23
10-10 01:00,91.31,43.96,73.0,36.51
10-10 02:00,92.89,44.07,80.15,39.31
10-10 03:00,86.61,51.34,96.53,36.91
10-10 04:00,97.13,76.8,105.49,35.66
10-10 05:00,97.29,100.83,246.63,37.91
10-10 06:00,97.1,171.55,224.82,42.35
10-10 07:00,90.85,146.14,101.31,41.28
10-10 08:00,84.93,103.96,68.96,37.78
10-10 09:00,81.25,131.81,50.04,32.63
10-10 10:00,79.55,103.7,45.98,31.5
10-10 11:00,84.33,98.0,47.89,33.4
10-10 12:00,81.73,107.22,53.59,28.38
10-10 13:00,83.84,119.62,58.1,26.01
10-10 14:00,92.47,145.17,54.97,26.11
10-10 15:00,91.72,140.89,49.26,25.32
10-10 16:00,95.64,144.3,44.33,24.55
10-10 17:00,99.0,130.09,44.09,25.31
10-10 18:00,89.06,107.48,44.24,25.4
10-10 19:00,88.49,100.98,41.52,25.21
10-10 20:00,92.44,99.69,35.28,26.34
10-10 21:00,82.89,95.58,33.2,27.98
10-10 22:00,82.16,90.44,30.71,32.71
10-10 23:00,83.71,92.85,32.0,34.14
10-11 00:00,76.88,102.32,34.56,35.92
10-11 01:00,76.86,105.41,35.35,36.43
10-11 02:00,75.66,107.81,35.57,37.19
10-11 03:00,83.46,108.53,34.88,34.92
10-11 04:00,88.74,163.86,34.56,29.81
10-11 05:00,88.59,117.06,38.78,27.98
10-11 06:00,92.01,129.2,37.2,36.04
10-11 07:00,90.29,136.44,34.56,24.22
10-11 08:00,78.14,114.28,31.98,15.78
10-11 09:00,78.99,95.33,36.22,15.44
10-11 10:00,69.06,90.91,52.76,14.8
10-11 11:00,70.71,113.33,87.86,15.07
10-11 12:00,74.05,112.05,83.51,15.51
10-11 13:00,89.81,109.76,50.22,16.59
10-11 14:00,92.28,129.25,35.58,19.93
10-11 15:00,92.75,159.63,30.48,25.28
10-11 16:00,92.43,250.94,28.47,31.74
10-11 17:00,86.03,221.5,29.36,33.28
10-11 18:00,70.41,190.85,30.54,32.37
10-11 19:00,66.39,177.64,27.64,34.81
10-11 20:00,69.95,152.98,21.17,33.41
10-11 21:00,80.54,167.81,21.78,30.02
10-11 22:00,76.34,125.26,21.7,28.49
10-11 23:00,83.5,137.11,21.41,28.78
10-12 00:00,84.41,172.39,20.57,29.82
10-12 01:00,84.18,180.62,20.93,31.51
10-12 02:00,86.42,159.62,20.8,30.33
10-12 03:00,86.66,168.67,20.56,32.14
10-12 04:00,89.21,201.96,20.51,32.56
10-12 05:00,100.13,220.19,31.65,36.01
10-12 06:00,94.48,230.75,30.96,35.27
10-12 07:00,97.77,226.06,33.57,30.31
10-12 08:00,89.96,233.68,34.83,29.88
10-12 09:00,107.45,222.23,34.26,27.86
10-12 10:00,104.67,164.96,33.51,22.12
10-12 11:00,105.58,129.24,33.67,20.61
10-12 12:00,98.97,138.64,33.45,20.95
10-12 13:00,102.59,144.57,41.4,25.39
10-12 14:00,90.53,171.37,49.33,28.58
10-12 15:00,101.05,180.03,62.81,27.62
10-12 16:00,102.13,199.51,71.09,27.09
10-12 17:00,100.23,187.6,92.21,28.5
10-12 18:00,112.86,158.71,105.55,28.97
10-12 19:00,109.16,149.22,89.65,30.39
10-12 20:00,95.71,129.63,98.76,32.11
10-12 21:00,96.53,114.08,116.79,32.85
10-12 22:00,88.63,115.91,112.17,42.82
10-12 23:00,93.5,119.52,112.63,42.88
10-13 00:00,95.68,117.43,115.69,37.09
10-13 01:00,95.89,118.31,114.56,36.04
10-13 02:00,93.22,133.47,108.43,38.14
10-13 03:00,93.22,135.63,97.89,43.37
10-13 04:00,102.3,228.21,89.93,49.45
10-13 05:00,128.74,209.5,69.2,45.55
10-13 06:00,137.83,217.17,60.36,40.59
10-13 07:00,151.22,185.7,73.23,50.44
10-13 08:00,134.32,171.28,95.97,51.94
10-13 09:00,133.06,144.49,107.32,65.65
10-13 10:00,122.0,159.49,44.52,62.85
10-13 11:00,120.94,168.52,36.98,62.75
10-13 12:00,110.94,154.19,32.07,64.84
10-13 13:00,95.03,140.23,32.66,65.05
10-13 14:00,91.91,169.86,22.71,64.85
10-13 15:00,90.53,161.98,29.14,39.77
10-13 16:00,105.5,179.17,30.53,18.15
10-13 17:00,102.16,226.2,31.86,19.08
10-13 18:00,106.87,187.99,33.77,19.65
10-13 19:00,106.88,143.57,28.12,19.57
10-13 20:00,102.63,135.73,27.63,19.99
10-13 21:00,100.0,154.09,30.26,19.86
10-13 22:00,93.26,139.81,28.62,19.98
10-13 23:00,97.62,147.11,37.56,20.13
10-14 00:00,87.2,149.54,42.69,21.46
10-14 01:00,87.89,259.22,52.97,21.13
10-14 02:00,90.62,186.92,46.84,20.3
10-14 03:00,104.79,169.83,58.01,21.42
10-14 04:00,91.83,180.61,34.37,23.2
10-14 05:00,93.65,242.61,31.53,30.11
10-14 06:00,90.19,214.76,29.24,32.32
10-14 07:00,90.99,205.3,26.69,24.79
10-14 08:00,102.39,179.35,25.98,20.7
10-14 09:00,117.47,178.99,26.63,17.78
10-14 10:00,130.67,168.54,31.3,17.18
10-14 11:00,101.94,173.41,29.75,16.32
10-14 12:00,113.5,163.62,27.52,21.78
10-14 13:00,112.45,183.74,28.32,21.32
10-14 14:00,110.18,225.72,32.92,28.1
10-14 15:00,97.98,219.5,26.33,27.12
10-14 16:00,90.38,209.71,25.31,33.18
10-14 17:00,84.93,179.51,24.98,32.67
10-14 18:00,75.97,97.97,26.3,31.79
10-14 19:00,97.71,96.09,27.28,38.92
10-14 20:00,90.46,96.06,30.49,37.82
10-14 21:00,48.12,86.2,29.71,28.74
10-14 22:00,46.06,88.91,29.96,25.91
10-14 23:00,41.23,91.96,30.0,31.91
10-15 00:00,37.7,91.4,30.62,33.27
10-15 01:00,37.47,82.99,30.4,32.45
10-15 02:00,38.83,71.45,31.06,32.25
10-15 03:00,46.14,75.08,31.98,32.75
10-15 04:00,78.17,77.73,32.28,39.76
10-15 05:00,87.84,85.17,32.43,32.4
10-15 06:00,103.68,98.68,29.43,26.92
10-15 07:00,95.15,97.0,58.18,27.87
10-15 08:00,101.96,92.77,54.4,36.1
10-15 09:00,72.15,89.44,55.02,31.38
10-15 10:00,72.95,95.73,56.73,27.43
10-15 11:00,77.11,83.97,53.57,29.66
10-15 12:00,78.14,88.01,44.09,33.81
10-15 13:00,83.16,85.25,43.04,60.6
10-15 14:00,71.08,91.0,25.99,88.88
10-15 15:00,87.53,83.78,25.53,57.11
10-15 16:00,88.47,79.43,31.79,50.25
10-15 17:00,89.03,82.72,32.95,47.06
10-15 18:00,65.72,77.91,33.62,48.3
10-15 19:00,61.55,71.46,27.42,41.17
10-15 20:00,59.19,70.91,27.37,31.25
10-15 21:00,64.33,60.83,28.68,28.41
10-15 22:00,59.91,38.17,26.58,27.92
10-15 23:00,50.75,36.76,27.44,32.2
10-16 00:00,42.32,38.89,27.54,37.49
10-16 01:00,41.47,42.79,28.36,73.91
10-16 02:00,47.14,44.14,31.39,43.49
10-16 03:00,42.56,43.63,31.58,29.07
10-16 04:00,53.71,38.68,26.39,33.35
10-16 05:00,64.53,38.43,27.23,33.34
10-16 06:00,68.61,36.19,36.06,30.95
10-16 07:00,69.65,32.69,34.41,25.87
10-16 08:00,56.79,32.27,27.46,22.81
10-16 09:00,36.74,37.69,32.79,21.2
10-16 10:00,35.18,44.28,50.28,32.72
10-16 11:00,43.42,47.33,58.39,36.64
10-16 12:00,72.61,49.72,67.98,31.43
10-16 13:00,52.05,38.29,79.08,27.0
10-16 14:00,52.86,57.08,90.24,19.21
10-16 15:00,62.7,77.33,152.64,16.47
10-16 16:00,70.34,88.84,202.58,15.34
10-16 17:00,73.64,105.41,196.12,16.87
10-16 18:00,73.16,100.09,162.04,24.78
10-16 19:00,76.49,84.81,141.15,28.64
10-16 20:00,75.3,83.17,97.28,32.7
10-16 21:00,53.44,92.75,82.5,30.5
10-16 22:00,46.7,97.0,78.73,21.72
10-16 23:00,45.62,111.31,78.33,20.71
10-17 00:00,45.3,107.46,79.62,21.35
10-17 01:00,46.18,105.98,80.42,22.15
10-17 02:00,47.82,118.31,81.49,20.97
10-17 03:00,50.19,154.8,82.35,26.44
10-17 04:00,50.39,281.58,91.77,33.04
10-17 05:00,55.59,230.53,95.44,32.34
10-17 06:00,63.4,175.11,99.87,32.4
10-17 07:00,76.8,149.91,82.8,31.24
10-17 08:00,77.0,124.1,71.55,40.5
10-17 09:00,77.86,147.97,68.42,48.85
10-17 10:00,77.3,144.86,75.6,49.22
10-17 11:00,81.38,133.65,68.61,51.17
10-17 12:00,89.51,143.3,62.17,51.74
10-17 13:00,97.98,129.56,69.58,55.12
10-17 14:00,99.82,181.23,79.0,59.42
10-17 15:00,107.36,180.53,81.25,57.25
10-17 16:00,117.45,201.08,80.04,60.68
10-17 17:00,108.38,184.49,80.96,62.8
10-17 18:00,111.44,163.83,84.06,63.16
10-17 19:00,110.71,131.78,76.91,69.6
10-17 20:00,118.97,128.0,72.67,66.92
10-17 21:00,111.74,121.06,67.74,62.29
10-17 22:00,120.97,126.04,38.86,76.12
10-17 23:00,106.76,122.74,32.61,79.13
10-18 00:00,69.15,122.2,35.23,74.35
10-18 01:00,74.21,133.03,36.74,64.11
10-18 02:00,54.61,140.39,47.06,64.34
10-18 03:00,53.44,151.5,60.98,68.04
10-18 04:00,87.72,158.47,70.66,67.73
10-18 05:00,171.38,194.96,69.86,74.01
10-18 06:00,286.94,259.42,74.95,88.3
10-18 07:00,282.38,165.79,68.3,106.75
10-18 08:00,166.33,141.69,65.1,75.81
10-18 09:00,158.0,144.64,74.17,66.31
10-18 10:00,141.99,178.78,76.57,62.9
10-18 11:00,138.66,116.92,76.79,68.51
10-18 12:00,143.56,114.83,78.33,71.91
10-18 13:00,146.5,109.99,75.49,79.05
10-18 14:00,152.31,125.24,75.94,80.94
10-18 15:00,135.11,155.37,85.82,72.86
10-18 16:00,128.24,161.37,80.02,73.5
10-18 17:00,138.63,135.95,69.63,78.35
10-18 18:00,135.09,135.56,72.3,74.68
10-18 19:00,123.7,127.23,69.25,76.69
10-18 20:00,109.06,134.64,49.04,65.09
10-18 21:00,107.07,143.24,28.56,69.62
10-18 22:00,114.67,138.11,27.22,86.34
10-18 23:00,113.97,143.55,27.37,84.62
10-19 00:00,123.77,148.3,32.47,82.93
10-19 01:00,102.79,149.75,44.98,82.44
10-19 02:00,97.88,167.93,36.7,83.33
10-19 03:00,95.7,189.33,32.48,83.66
10-19 04:00,114.14,226.32,31.12,88.17
10-19 05:00,107.85,344.25,31.25,90.07
10-19 06:00,102.28,346.86,31.59,91.18
10-19 07:00,94.25,307.77,32.96,87.04
10-19 08:00,93.14,246.54,30.46,77.2
10-19 09:00,90.3,230.24,28.8,64.79
10-19 10:00,91.47,216.17,28.08,64.74
10-19 11:00,83.54,193.37,30.04,63.23
10-19 12:00,92.63,218.16,35.9,67.73
10-19 13:00,99.38,251.66,35.58,71.65
10-19 14:00,99.93,310.17,30.07,88.0
10-19 15:00,94.63,374.4,21.85,90.98
10-19 16:00,90.68,383.8,20.66,90.54
10-19 17:00,92.49,359.01,22.57,81.19
10-19 18:00,87.28,346.03,24.82,76.42
10-19 19:00,81.17,264.13,24.77,68.14
10-19 20:00,68.17,261.02,24.87,68.45
10-19 21:00,39.51,210.98,25.61,73.31
10-19 22:00,29.71,177.07,24.31,65.78
10-19 23:00,46.93,192.06,24.52,67.67
10-20 00:00,40.37,190.23,24.93,70.41
10-20 01:00,50.53,195.32,25.2,75.43
10-20 02:00,62.84,181.9,26.52,78.66
10-20 03:00,74.53,175.09,24.92,75.64
10-20 04:00,65.89,173.56,23.88,74.9
10-20 05:00,63.22,194.91,25.14,74.98
10-20 06:00,65.09,212.05,23.18,73.77
10-20 07:00,72.52,207.91,22.29,56.79
10-20 08:00,71.48,178.16,23.48,36.99
10-20 09:00,64.55,168.29,22.22,41.11
10-20 10:00,76.28,159.32,22.29,55.05
10-20 11:00,69.68,138.16,23.08,64.97
10-20 12:00,59.53,124.0,22.33,102.35
10-20 13:00,58.47,115.38,22.55,93.56
10-20 14:00,89.43,110.22,24.55,48.82
10-20 15:00,77.68,111.27,48.13,60.7
10-20 16:00,76.99,113.51,62.12,64.52
10-20 17:00,94.08,111.45,73.31,51.07
10-20 18:00,52.38,106.32,74.14,38.72
10-20 19:00,47.86,102.71,67.5,36.42
10-20 20:00,48.54,101.48,57.61,35.91
10-20 21:00,50.48,103.51,44.07,32.12
10-20 22:00,54.83,112.99,36.61,33.09
10-20 23:00,54.64,116.17,38.1,37.68
10-21 00:00,52.73,123.7,47.01,42.81
10-21 01:00,59.45,134.43,38.75,41.68
10-21 02:00,58.24,153.48,40.27,41.42
10-21 03:00,57.8,167.14,41.85,33.13
10-21 04:00,64.54,179.99,44.91,39.6
10-21 05:00,79.38,251.42,48.28,52.47
10-21 06:00,77.09,277.85,40.94,54.01
10-21 07:00,75.82,246.53,40.37,45.63
10-21 08:00,92.7,213.96,40.24,37.39
10-21 09:00,102.91,206.18,43.53,31.5
10-21 10:00,98.22,185.95,54.67,33.74
10-21 11:00,85.16,215.61,74.04,38.04
10-21 12:00,84.87,229.77,77.25,45.86
10-21 13:00,89.71,242.18,42.86,55.03
10-21 14:00,88.43,255.12,46.15,67.95
10-21 15:00,85.28,229.23,53.79,70.08
10-21 16:00,80.83,250.05,53.69,70.84
10-21 17:00,72.0,260.04,55.64,71.13
10-21 18:00,78.75,230.46,61.81,77.79
10-21 19:00,83.69,259.46,49.57,74.12
10-21 20:00,83.03,225.3,41.96,78.39
10-21 21:00,95.25,203.71,40.77,72.13
10-21 22:00,89.34,199.17,39.79,75.83
10-21 23:00,79.79,198.6,39.54,78.11
10-22 00:00,68.0,217.57,53.52,74.05
10-22 01:00,70.99,219.29,65.26,77.27
10-22 02:00,80.7,213.59,60.19,77.12
10-22 03:00,82.13,198.74,67.66,76.55
10-22 04:00,87.79,196.17,77.63,86.88
10-22 05:00,94.99,192.12,69.48,175.87
10-22 06:00,105.19,238.65,57.35,205.84
10-22 07:00,109.15,300.11,52.09,180.35
10-22 08:00,104.47,268.2,51.3,119.5
10-22 09:00,97.85,293.42,46.82,106.69
10-22 10:00,91.06,266.55,38.69,102.22
10-22 11:00,80.98,261.27,51.98,125.99
10-22 12:00,75.52,249.03,62.76,99.56
10-22 13:00,68.29,282.74,64.22,75.16
10-22 14:00,77.52,308.76,69.49,62.93
10-22 15:00,80.08,285.87,67.79,61.82
10-22 16:00,71.99,277.47,71.99,58.66
10-22 17:00,76.26,259.18,67.99,60.81
10-22 18:00,89.49,238.93,70.49,55.99
10-22 19:00,66.15,229.83,71.41,51.0
10-22 20:00,67.61,239.94,75.08,49.93
10-22 21:00,65.92,213.38,76.0,51.57
10-22 22:00,69.12,201.32,65.2,49.62
10-22 23:00,50.9,194.15,45.43,52.35
10-23 00:00,55.58,205.82,44.47,55.37
10-23 01:00,49.46,232.04,43.82,57.53
10-23 02:00,51.95,229.79,47.84,59.4
10-23 03:00,64.44,241.05,65.47,63.06
10-23 04:00,85.96,306.72,78.45,67.06
10-23 05:00,72.03,297.64,85.21,76.68
10-23 06:00,84.2,335.18,83.03,76.9
10-23 07:00,98.24,328.34,84.67,69.56
10-23 08:00,75.6,273.35,89.42,66.18
10-23 09:00,82.55,257.88,84.67,75.42
10-23 10:00,82.19,244.4,82.21,87.12
10-23 11:00,82.19,260.79,71.72,58.38
10-23 12:00,84.23,264.53,72.21,59.28
10-23 13:00,87.2,288.06,88.19,60.89
10-23 14:00,92.32,317.22,89.91,72.09
10-23 15:00,100.82,302.12,105.65,81.14
10-23 16:00,104.06,283.1,99.45,79.52
10-23 17:00,107.3,258.14,131.2,84.21
10-23 18:00,111.61,221.14,103.67,78.01
10-23 19:00,112.75,187.06,102.75,71.2
10-23 20:00,113.63,164.12,100.18,70.49
10-23 21:00,113.9,156.76,99.22,73.84
10-23 22:00,104.71,141.4,93.57,68.02
10-23 23:00,106.6,153.05,86.72,68.77
10-24 00:00,101.97,172.9,83.06,68.62
10-24 01:00,102.35,179.82,85.24,74.64
10-24 02:00,106.19,179.45,91.86,72.43
10-24 03:00,86.96,163.37,94.65,68.36
10-24 04:00,80.56,178.08,92.33,76.25
10-24 05:00,74.48,213.36,92.13,79.54
10-24 06:00,73.7,230.11,91.58,81.79
10-24 07:00,67.23,203.93,82.77,82.42
10-24 08:00,67.45,180.61,75.03,70.15
10-24 09:00,67.42,149.65,62.67,64.07
10-24 10:00,67.12,107.12,60.44,63.43
10-24 11:00,71.53,105.44,38.98,61.25
10-24 12:00,79.22,107.49,28.9,60.0
